sample,species
083209.png,corylus
112414.png,populus
013972.png,quercus
067162.png,alnus
070446.png,fraxinus
014645.png,quercus
071263.png,tilia
113936.png,alnus
106413.png,picea
005755.png,poaceae
104203.png,corylus
000619.png,populus
015399.png,quercus
085784.png,tilia
079867.png,alnus
096477.png,quercus
100599.png,tilia
113700.png,fagus
075624.png,corylus
037215.png,urticaceae
046826.png,alnus
062774.png,fraxinus
037267.png,betula
026589.png,cupressaceae
048780.png,cupressaceae
070552.png,salix
046740.png,salix
018396.png,cupressaceae
028024.png,cupressaceae
066721.png,fraxinus
027556.png,pinus
027602.png,cupressaceae
080584.png,carpinus
105904.png,corylus
106110.png,alnus
077490.png,salix
090238.png,poaceae
053974.png,betula
067997.png,fraxinus
050900.png,pinus
007343.png,quercus
043352.png,carpinus
068416.png,poaceae
104855.png,populus
057260.png,corylus
062231.png,poaceae
040865.png,betula
061288.png,tilia
111146.png,alnus
113743.png,populus
109996.png,populus
102878.png,cupressaceae
111570.png,cupressaceae
005418.png,poaceae
068389.png,quercus
041703.png,corylus
042079.png,tilia
038520.png,urticaceae
036364.png,pinus
014057.png,pinus
024725.png,fraxinus
011479.png,fraxinus
112646.png,picea
060239.png,corylus
061914.png,alnus
080400.png,carpinus
107615.png,tilia
097607.png,quercus
101663.png,pinus
110792.png,salix
108624.png,quercus
065853.png,cupressaceae
010982.png,tilia
089576.png,fagus
035680.png,tilia
062162.png,alnus
015014.png,pinus
009468.png,cupressaceae
061026.png,corylus
029798.png,betula
114536.png,tilia
016757.png,carpinus
074709.png,pinus
036673.png,fagus
053355.png,tilia
074925.png,pinus
076974.png,salix
033039.png,poaceae
040991.png,fagus
003510.png,pinus
105638.png,fagus
104041.png,populus
091895.png,quercus
082398.png,urticaceae
026963.png,poaceae
005693.png,picea
003024.png,corylus
039000.png,picea
099192.png,betula
100850.png,pinus
090502.png,picea
005003.png,betula
053309.png,fraxinus
042223.png,fagus
057757.png,cupressaceae
055763.png,urticaceae
111711.png,cupressaceae
067176.png,picea
004136.png,salix
059998.png,fraxinus
072529.png,quercus
026992.png,cupressaceae
052285.png,pinus
029532.png,populus
097614.png,pinus
013543.png,corylus
045602.png,cupressaceae
019651.png,corylus
017843.png,corylus
014596.png,pinus
019785.png,fagus
112065.png,alnus
043460.png,fraxinus
036836.png,populus
087431.png,picea
106313.png,picea
020889.png,corylus
088293.png,urticaceae
032871.png,alnus
006875.png,fagus
089375.png,corylus
031764.png,alnus
098981.png,fraxinus
045726.png,picea
015281.png,cupressaceae
103561.png,populus
106642.png,cupressaceae
005680.png,betula
051006.png,quercus
022982.png,urticaceae
085346.png,quercus
036081.png,poaceae
015505.png,picea
105367.png,quercus
106914.png,picea
034946.png,corylus
111187.png,tilia
101059.png,alnus
012183.png,quercus
106428.png,alnus
099665.png,betula
006144.png,fagus
050400.png,poaceae
028566.png,alnus
061350.png,corylus
056800.png,quercus
107625.png,betula
073421.png,corylus
053121.png,alnus
089082.png,cupressaceae
098227.png,quercus
008960.png,populus
103521.png,populus
087534.png,picea
036707.png,fagus
013970.png,salix
104085.png,urticaceae
043923.png,picea
074334.png,corylus
083205.png,alnus
106176.png,tilia
048270.png,poaceae
048751.png,cupressaceae
050988.png,fagus
014027.png,urticaceae
104494.png,picea
036159.png,corylus
023259.png,picea
096787.png,picea
087652.png,picea
043017.png,populus
096799.png,tilia
027460.png,urticaceae
065933.png,salix
027053.png,pinus
090326.png,carpinus
023628.png,picea
012169.png,carpinus
026431.png,quercus
080917.png,carpinus
011656.png,corylus
008226.png,quercus
024077.png,betula
055700.png,picea
009247.png,fagus
027839.png,salix
010152.png,cupressaceae
084715.png,fraxinus
040431.png,urticaceae
026329.png,picea
052672.png,picea
081036.png,cupressaceae
011190.png,poaceae
002008.png,fraxinus
088002.png,poaceae
030174.png,corylus
095817.png,carpinus
105776.png,urticaceae
080771.png,tilia
016139.png,quercus
033128.png,alnus
039986.png,urticaceae
110583.png,betula
016683.png,populus
017955.png,fraxinus
075604.png,tilia
078921.png,salix
035287.png,urticaceae
029152.png,populus
107157.png,cupressaceae
095269.png,alnus
069974.png,betula
023361.png,poaceae
053427.png,pinus
067144.png,picea
088868.png,tilia
093512.png,fraxinus
078317.png,populus
094683.png,betula
007405.png,poaceae
059207.png,picea
065380.png,fagus
005191.png,cupressaceae
076869.png,corylus
069239.png,salix
026200.png,alnus
103799.png,betula
056208.png,corylus
047820.png,populus
074051.png,tilia
094646.png,carpinus
081759.png,alnus
079700.png,populus
029681.png,cupressaceae
055814.png,quercus
052259.png,populus
060412.png,populus
095233.png,fagus
040712.png,carpinus
098970.png,salix
074104.png,picea
066025.png,quercus
007458.png,alnus
069308.png,alnus
050306.png,poaceae
026928.png,poaceae
066163.png,salix
063473.png,urticaceae
104785.png,fraxinus
037194.png,populus
070591.png,carpinus
090586.png,tilia
039396.png,fagus
109272.png,tilia
096473.png,carpinus
111912.png,urticaceae
109635.png,salix
045442.png,corylus
033583.png,urticaceae
042434.png,picea
040917.png,poaceae
092591.png,betula
018498.png,tilia
015272.png,pinus
058371.png,picea
107927.png,carpinus
018301.png,tilia
011201.png,salix
075882.png,alnus
008319.png,betula
055594.png,salix
020003.png,carpinus
044483.png,betula
046764.png,populus
021678.png,quercus
014106.png,alnus
056089.png,betula
025909.png,populus
005476.png,corylus
015069.png,tilia
062257.png,pinus
026420.png,fraxinus
062280.png,betula
009094.png,carpinus
090246.png,pinus
071457.png,salix
063500.png,tilia
108702.png,populus
067517.png,quercus
066824.png,fagus
010495.png,corylus
024929.png,alnus
047793.png,corylus
026824.png,fraxinus
101837.png,pinus
022745.png,cupressaceae
009934.png,cupressaceae
032454.png,alnus
011993.png,alnus
032607.png,salix
063540.png,pinus
006095.png,quercus
042547.png,quercus
001443.png,pinus
076579.png,pinus
007123.png,betula
032392.png,fraxinus
069653.png,carpinus
036778.png,picea
051107.png,carpinus
034034.png,carpinus
063612.png,fagus
071124.png,populus
044275.png,fraxinus
030374.png,pinus
032945.png,urticaceae
016943.png,picea
013535.png,poaceae
032539.png,fraxinus
099570.png,salix
053610.png,betula
066908.png,poaceae
002948.png,salix
112489.png,pinus
010136.png,tilia
085877.png,cupressaceae
092206.png,cupressaceae
057931.png,fagus
075721.png,salix
033637.png,corylus
094455.png,corylus
075955.png,cupressaceae
018513.png,salix
026897.png,urticaceae
093003.png,betula
104935.png,urticaceae
006175.png,corylus
056821.png,quercus
086813.png,poaceae
101686.png,alnus
068907.png,tilia
006155.png,corylus
089453.png,carpinus
036009.png,quercus
063380.png,carpinus
103774.png,picea
015087.png,corylus
104938.png,betula
025859.png,corylus
081129.png,carpinus
087456.png,salix
080245.png,urticaceae
103950.png,alnus
103586.png,fraxinus
092558.png,pinus
101822.png,corylus
061346.png,corylus
047282.png,carpinus
057232.png,corylus
083441.png,fraxinus
063420.png,picea
034991.png,picea
035343.png,quercus
021050.png,poaceae
029775.png,fraxinus
014352.png,alnus
016565.png,fagus
075499.png,cupressaceae
061219.png,fagus
069171.png,poaceae
070035.png,fraxinus
064005.png,picea
072724.png,pinus
021017.png,betula
107953.png,fraxinus
048081.png,urticaceae
055626.png,betula
069112.png,picea
024311.png,fraxinus
070886.png,tilia
063085.png,picea
076048.png,tilia
000878.png,poaceae
023400.png,urticaceae
063601.png,pinus
109167.png,corylus
075056.png,salix
048659.png,betula
038379.png,fagus
044916.png,alnus
019575.png,poaceae
015563.png,corylus
112781.png,corylus
019285.png,corylus
005573.png,pinus
028344.png,picea
073918.png,fraxinus
085446.png,carpinus
057748.png,urticaceae
103780.png,corylus
058342.png,tilia
054259.png,poaceae
005804.png,carpinus
043530.png,alnus
013891.png,picea
096364.png,fraxinus
049447.png,corylus
078395.png,fraxinus
091947.png,cupressaceae
013415.png,betula
086298.png,populus
096132.png,quercus
068532.png,populus
086365.png,pinus
101060.png,urticaceae
082196.png,corylus
001127.png,fraxinus
064349.png,poaceae
108337.png,betula
078385.png,picea
069832.png,tilia
041211.png,corylus
109777.png,tilia
016633.png,betula
031171.png,alnus
071937.png,poaceae
033853.png,poaceae
030696.png,betula
023425.png,cupressaceae
100033.png,betula
098454.png,picea
019026.png,alnus
026964.png,fraxinus
041792.png,pinus
078571.png,fraxinus
001661.png,salix
006920.png,fraxinus
097716.png,betula
007742.png,cupressaceae
022833.png,carpinus
032236.png,betula
086520.png,populus
043435.png,alnus
097573.png,fraxinus
001488.png,cupressaceae
073258.png,pinus
096849.png,poaceae
089893.png,poaceae
081263.png,urticaceae
015329.png,urticaceae
044825.png,quercus
016320.png,urticaceae
002872.png,corylus
112262.png,urticaceae
032320.png,pinus
102661.png,pinus
058784.png,betula
008135.png,carpinus
089457.png,corylus
078676.png,urticaceae
083817.png,salix
079856.png,urticaceae
011572.png,quercus
083834.png,quercus
047202.png,populus
034494.png,urticaceae
026481.png,picea
034068.png,carpinus
021178.png,fraxinus
005124.png,pinus
108550.png,cupressaceae
039459.png,pinus
085471.png,betula
045010.png,cupressaceae
017787.png,cupressaceae
100628.png,quercus
085585.png,pinus
076671.png,carpinus
030452.png,salix
109289.png,pinus
109758.png,alnus
080695.png,quercus
025939.png,quercus
100378.png,poaceae
014555.png,salix
002541.png,carpinus
096107.png,fraxinus
018440.png,fagus
057409.png,populus
095291.png,cupressaceae
033744.png,salix
067632.png,tilia
105703.png,quercus
002892.png,poaceae
041453.png,poaceae
081692.png,fagus
094537.png,pinus
059424.png,salix
044446.png,quercus
100468.png,cupressaceae
038331.png,alnus
095101.png,betula
063254.png,betula
096985.png,pinus
097685.png,quercus
048712.png,corylus
105274.png,urticaceae
033630.png,picea
064562.png,urticaceae
107354.png,cupressaceae
012684.png,cupressaceae
061783.png,salix
021641.png,carpinus
042325.png,corylus
055616.png,fraxinus
089055.png,quercus
081632.png,cupressaceae
083987.png,betula
111864.png,populus
081212.png,urticaceae
073989.png,picea
115242.png,corylus
032170.png,fraxinus
111641.png,fagus
082374.png,fraxinus
107590.png,pinus
070666.png,fraxinus
111476.png,fraxinus
100241.png,carpinus
092473.png,pinus
088246.png,poaceae
068007.png,cupressaceae
081886.png,urticaceae
061305.png,quercus
072160.png,corylus
051701.png,salix
054758.png,carpinus
077760.png,pinus
073112.png,salix
036289.png,poaceae
095909.png,corylus
013252.png,cupressaceae
098039.png,pinus
106515.png,salix
035393.png,fagus
012265.png,urticaceae
031533.png,betula
041000.png,corylus
083982.png,salix
065232.png,betula
091919.png,carpinus
075017.png,fagus
100390.png,carpinus
073707.png,urticaceae
088660.png,fagus
016768.png,picea
018685.png,alnus
108910.png,betula
054003.png,picea
071479.png,tilia
095541.png,alnus
059349.png,tilia
035872.png,populus
063441.png,salix
081944.png,carpinus
092859.png,carpinus
104321.png,tilia
064512.png,carpinus
047914.png,urticaceae
114081.png,populus
012639.png,salix
050179.png,picea
046717.png,tilia
107159.png,quercus
017597.png,alnus
087414.png,urticaceae
062850.png,picea
024321.png,populus
054261.png,populus
027601.png,tilia
113162.png,pinus
044120.png,fraxinus
039788.png,populus
081112.png,tilia
039391.png,betula
039088.png,picea
020375.png,quercus
038457.png,pinus
030859.png,populus
015362.png,pinus
032288.png,poaceae
052639.png,carpinus
015037.png,corylus
105214.png,cupressaceae
022601.png,fagus
059942.png,picea
076071.png,betula
026000.png,urticaceae
019766.png,carpinus
027830.png,betula
092007.png,tilia
007763.png,tilia
012357.png,corylus
076152.png,quercus
057418.png,quercus
067736.png,quercus
045612.png,corylus
026094.png,fraxinus
017475.png,quercus
012597.png,poaceae
018127.png,fagus
078314.png,carpinus
088733.png,corylus
017388.png,urticaceae
064128.png,picea
033685.png,fagus
059528.png,poaceae
093971.png,carpinus
084307.png,tilia
068963.png,salix
060735.png,quercus
081209.png,alnus
096613.png,corylus
108939.png,poaceae
054264.png,cupressaceae
069809.png,salix
035970.png,fagus
093810.png,fagus
052835.png,carpinus
031448.png,fraxinus
004753.png,fraxinus
049767.png,poaceae
111649.png,alnus
006277.png,poaceae
107239.png,quercus
003504.png,tilia
050276.png,alnus
039681.png,fagus
078408.png,corylus
052745.png,populus
044807.png,corylus
002378.png,tilia
074541.png,cupressaceae
106725.png,corylus
027508.png,fagus
006740.png,betula
111684.png,alnus
003126.png,urticaceae
097628.png,salix
044021.png,salix
080184.png,fraxinus
004964.png,picea
026356.png,poaceae
090086.png,betula
066089.png,carpinus
099951.png,pinus
060378.png,carpinus
092175.png,populus
090530.png,betula
005287.png,salix
036097.png,fraxinus
014017.png,corylus
082487.png,salix
054452.png,carpinus
083249.png,corylus
084108.png,picea
031808.png,fraxinus
006625.png,populus
056348.png,cupressaceae
055057.png,alnus
065907.png,corylus
040927.png,betula
049674.png,picea
021307.png,corylus
038569.png,populus
090442.png,corylus
025376.png,carpinus
016966.png,betula
108767.png,tilia
083836.png,populus
113688.png,pinus
033893.png,fagus
060033.png,picea
072944.png,corylus
065590.png,poaceae
094379.png,fagus
045032.png,picea
102339.png,tilia
058697.png,tilia
041535.png,pinus
100291.png,picea
025150.png,corylus
108748.png,pinus
030951.png,fagus
059970.png,carpinus
091594.png,quercus
015237.png,corylus
036862.png,fagus
094616.png,salix
082854.png,corylus
022151.png,picea
061887.png,alnus
083519.png,quercus
028500.png,fraxinus
107144.png,corylus
105430.png,salix
068787.png,tilia
041533.png,salix
041079.png,tilia
102347.png,cupressaceae
061531.png,urticaceae
023840.png,alnus
073708.png,carpinus
002080.png,alnus
076814.png,corylus
019888.png,fagus
057231.png,picea
066111.png,populus
110586.png,quercus
069266.png,corylus
065730.png,populus
086424.png,populus
021557.png,poaceae
089297.png,salix
064491.png,populus
097604.png,cupressaceae
055987.png,corylus
017658.png,fraxinus
058361.png,betula
011784.png,quercus
111950.png,poaceae
086559.png,pinus
048291.png,carpinus
046011.png,carpinus
077034.png,populus
094901.png,picea
043786.png,fagus
021259.png,corylus
011249.png,tilia
057706.png,populus
114461.png,fagus
028316.png,pinus
013770.png,picea
028531.png,pinus
111809.png,carpinus
023270.png,alnus
029042.png,carpinus
110623.png,poaceae
071515.png,alnus
076479.png,alnus
048561.png,pinus
070874.png,urticaceae
028017.png,carpinus
073800.png,pinus
011015.png,tilia
021101.png,fagus
038321.png,tilia
010497.png,picea
067785.png,tilia
034406.png,quercus
084449.png,tilia
012368.png,tilia
035151.png,fraxinus
001150.png,cupressaceae
050468.png,carpinus
042646.png,fraxinus
103317.png,pinus
035869.png,picea
109365.png,pinus
016973.png,picea
064612.png,picea
037931.png,urticaceae
022118.png,corylus
010831.png,fraxinus
082894.png,urticaceae
061276.png,fagus
055409.png,picea
068821.png,populus
031319.png,picea
008591.png,quercus
076987.png,quercus
097386.png,carpinus
020751.png,pinus
111854.png,populus
086789.png,carpinus
008269.png,carpinus
089302.png,pinus
102229.png,tilia
081506.png,quercus
067804.png,corylus
029476.png,carpinus
080441.png,fagus
086225.png,betula
066411.png,picea
082676.png,quercus
045604.png,poaceae
112979.png,tilia
060130.png,carpinus
020011.png,quercus
003885.png,quercus
032650.png,fraxinus
026250.png,cupressaceae
110847.png,quercus
103339.png,pinus
005047.png,salix
037040.png,picea
094834.png,picea
094893.png,betula
058055.png,picea
061459.png,poaceae
008695.png,corylus
015446.png,quercus
021808.png,urticaceae
100385.png,fagus
029437.png,betula
095975.png,urticaceae
032294.png,alnus
079208.png,cupressaceae
056275.png,cupressaceae
040013.png,populus
103840.png,corylus
046710.png,populus
050863.png,carpinus
052443.png,cupressaceae
095770.png,picea
091529.png,populus
050055.png,alnus
115019.png,quercus
051297.png,tilia
050250.png,picea
054002.png,betula
007569.png,populus
026325.png,tilia
025241.png,alnus
083427.png,alnus
046547.png,quercus
073203.png,quercus
076127.png,picea
017931.png,alnus
013397.png,quercus
082979.png,populus
109498.png,quercus
070842.png,betula
088423.png,pinus
091911.png,quercus
114019.png,betula
080212.png,cupressaceae
038766.png,pinus
025298.png,populus
025161.png,corylus
018966.png,quercus
054868.png,fagus
067498.png,corylus
098936.png,tilia
082767.png,quercus
051810.png,populus
091182.png,fraxinus
073962.png,fagus
004804.png,fraxinus
060508.png,pinus
006023.png,cupressaceae
049549.png,urticaceae
050764.png,pinus
012309.png,betula
092291.png,pinus
102611.png,tilia
096329.png,urticaceae
045946.png,urticaceae
006801.png,pinus
095489.png,salix
095133.png,betula
073045.png,tilia
058170.png,quercus
026871.png,picea
022634.png,tilia
095625.png,cupressaceae
003901.png,cupressaceae
045997.png,populus
061306.png,picea
011169.png,alnus
034229.png,populus
100003.png,tilia
091437.png,poaceae
006943.png,salix
079554.png,populus
033086.png,populus
090912.png,carpinus
032075.png,betula
024843.png,salix
063086.png,urticaceae
053720.png,fagus
009671.png,fagus
114907.png,quercus
016266.png,fraxinus
030372.png,populus
103039.png,corylus
059194.png,corylus
012719.png,corylus
064082.png,tilia
008354.png,salix
038014.png,tilia
067914.png,poaceae
022415.png,poaceae
053420.png,pinus
020803.png,poaceae
069033.png,pinus
096631.png,alnus
021824.png,quercus
109484.png,tilia
106287.png,alnus
102039.png,cupressaceae
018989.png,picea
045241.png,pinus
076797.png,corylus
107766.png,fraxinus
045049.png,populus
079479.png,poaceae
004348.png,populus
014740.png,fagus
037605.png,populus
012364.png,betula
104678.png,picea
002075.png,cupressaceae
031529.png,fraxinus
056404.png,fagus
047521.png,betula
096043.png,carpinus
058720.png,tilia
023572.png,fraxinus
050271.png,quercus
037140.png,alnus
031809.png,alnus
040627.png,betula
087474.png,quercus
027950.png,cupressaceae
010353.png,fagus
109743.png,corylus
016339.png,populus
040504.png,picea
092329.png,corylus
022091.png,urticaceae
041001.png,urticaceae
110974.png,picea
108831.png,fraxinus
037312.png,urticaceae
007205.png,betula
028730.png,tilia
037629.png,carpinus
093290.png,betula
093958.png,urticaceae
045422.png,tilia
012208.png,picea
070516.png,corylus
032626.png,cupressaceae
006794.png,poaceae
023501.png,fraxinus
088008.png,corylus
030996.png,salix
021461.png,picea
076055.png,poaceae
043646.png,fraxinus
105073.png,tilia
105593.png,pinus
063243.png,poaceae
107149.png,pinus
040233.png,tilia
075252.png,betula
033416.png,populus
008132.png,poaceae
026705.png,populus
001149.png,populus
026046.png,carpinus
096876.png,carpinus
020549.png,betula
037302.png,populus
090948.png,fraxinus
112365.png,fagus
023028.png,fraxinus
079174.png,urticaceae
089740.png,fraxinus
041329.png,salix
102372.png,corylus
097732.png,salix
066452.png,poaceae
099993.png,pinus
068178.png,poaceae
009211.png,populus
037795.png,poaceae
045257.png,corylus
054402.png,tilia
097238.png,cupressaceae
017465.png,pinus
084209.png,corylus
013455.png,cupressaceae
038497.png,picea
069439.png,tilia
025405.png,quercus
023621.png,poaceae
039837.png,cupressaceae
039508.png,salix
094294.png,quercus
008646.png,carpinus
063348.png,carpinus
063699.png,poaceae
015881.png,carpinus
067208.png,alnus
001033.png,salix
014389.png,picea
022640.png,betula
038204.png,cupressaceae
031000.png,picea
073253.png,quercus
057407.png,tilia
062887.png,betula
091756.png,quercus
022311.png,urticaceae
022331.png,betula
091802.png,quercus
084712.png,fraxinus
066649.png,betula
096862.png,alnus
081842.png,tilia
092325.png,quercus
106749.png,cupressaceae
103147.png,cupressaceae
029169.png,alnus
023450.png,poaceae
000357.png,tilia
044213.png,populus
007841.png,fagus
107788.png,cupressaceae
037269.png,picea
045423.png,betula
080091.png,pinus
055265.png,pinus
069625.png,picea
020415.png,populus
016553.png,corylus
001045.png,carpinus
063372.png,urticaceae
096427.png,corylus
066420.png,tilia
007518.png,salix
095654.png,corylus
050131.png,corylus
030705.png,betula
003935.png,populus
056614.png,urticaceae
044614.png,corylus
017180.png,fagus
098757.png,pinus
067837.png,alnus
087109.png,cupressaceae
019157.png,cupressaceae
038504.png,quercus
088113.png,populus
060530.png,urticaceae
088485.png,fagus
052981.png,alnus
062717.png,pinus
102958.png,carpinus
019820.png,urticaceae
028217.png,cupressaceae
038451.png,picea
067664.png,fraxinus
026125.png,carpinus
114140.png,quercus
018994.png,picea
028639.png,pinus
074448.png,picea
042217.png,poaceae
110905.png,populus
093226.png,tilia
009874.png,pinus
095708.png,cupressaceae
063280.png,corylus
018030.png,populus
033357.png,salix
007996.png,alnus
052105.png,tilia
105102.png,poaceae
051132.png,picea
082926.png,fagus
050424.png,corylus
065058.png,carpinus
005728.png,picea
022802.png,corylus
029769.png,picea
036648.png,corylus
087089.png,carpinus
001480.png,quercus
051735.png,corylus
066172.png,betula
013730.png,poaceae
022968.png,poaceae
013424.png,corylus
001449.png,poaceae
031440.png,carpinus
108189.png,poaceae
111281.png,pinus
094289.png,corylus
007251.png,tilia
096424.png,alnus
099450.png,fraxinus
100461.png,corylus
089142.png,pinus
036305.png,alnus
045580.png,urticaceae
061060.png,populus
034275.png,corylus
076891.png,urticaceae
027229.png,quercus
015867.png,fraxinus
086011.png,alnus
034962.png,salix
068336.png,populus
104123.png,corylus
040084.png,tilia
112534.png,corylus
081412.png,carpinus
041786.png,fagus
043665.png,corylus
005568.png,poaceae
037220.png,pinus
025597.png,corylus
059129.png,corylus
037818.png,populus
039960.png,urticaceae
006936.png,poaceae
104266.png,fagus
098658.png,urticaceae
012401.png,pinus
090135.png,cupressaceae
096856.png,picea
025160.png,quercus
027653.png,pinus
015236.png,populus
109741.png,carpinus
114331.png,salix
017444.png,betula
091490.png,picea
059555.png,picea
033168.png,fraxinus
001848.png,fagus
068200.png,picea
035375.png,picea
030437.png,betula
043785.png,corylus
068745.png,cupressaceae
027348.png,fraxinus
002914.png,salix
039723.png,carpinus
001658.png,cupressaceae
094170.png,tilia
102046.png,betula
080268.png,populus
090603.png,pinus
062349.png,populus
060099.png,betula
096087.png,tilia
041974.png,tilia
006881.png,quercus
108097.png,populus
081410.png,fraxinus
018374.png,cupressaceae
077607.png,salix
067009.png,carpinus
006301.png,pinus
018305.png,urticaceae
101225.png,tilia
086121.png,fraxinus
061636.png,salix
029148.png,betula
016552.png,fraxinus
058063.png,poaceae
051979.png,fagus
011857.png,corylus
022092.png,urticaceae
095300.png,corylus
064718.png,urticaceae
112015.png,urticaceae
069857.png,poaceae
020347.png,fagus
088846.png,salix
046782.png,quercus
044307.png,populus
049431.png,alnus
089327.png,tilia
015018.png,urticaceae
038338.png,corylus
025674.png,fagus
004663.png,tilia
019622.png,alnus
083378.png,cupressaceae
008866.png,betula
018527.png,carpinus
091811.png,poaceae
113380.png,alnus
056329.png,picea
078198.png,pinus
063334.png,populus
043406.png,picea
007899.png,fagus
081794.png,populus
067043.png,quercus
002220.png,corylus
030478.png,quercus
115154.png,quercus
089716.png,fraxinus
027410.png,salix
012613.png,cupressaceae
039520.png,poaceae
006394.png,alnus
050403.png,quercus
112381.png,fraxinus
029466.png,fagus
093379.png,tilia
098748.png,corylus
029757.png,corylus
093484.png,cupressaceae
075758.png,tilia
014919.png,tilia
056523.png,poaceae
013739.png,corylus
028055.png,picea
008033.png,pinus
064633.png,betula
091179.png,betula
082714.png,poaceae
055467.png,urticaceae
052291.png,betula
096700.png,picea
063604.png,picea
084777.png,quercus
040206.png,fraxinus
037407.png,pinus
097709.png,carpinus
065920.png,fagus
025726.png,betula
033766.png,urticaceae
010102.png,alnus
095875.png,betula
006436.png,corylus
040863.png,poaceae
060529.png,urticaceae
076573.png,poaceae
055369.png,carpinus
093936.png,fagus
111833.png,picea
082983.png,betula
081647.png,corylus
000934.png,salix
058125.png,cupressaceae
051931.png,tilia
073249.png,salix
017049.png,tilia
048099.png,populus
092324.png,alnus
052608.png,betula
073841.png,tilia
105535.png,fraxinus
085282.png,fagus
057437.png,salix
066617.png,pinus
092347.png,tilia
111769.png,fraxinus
112180.png,picea
018791.png,pinus
060662.png,fagus
094562.png,poaceae
006932.png,fraxinus
005902.png,picea
011364.png,salix
035931.png,pinus
011254.png,cupressaceae
044396.png,pinus
052656.png,salix
038049.png,quercus
090660.png,alnus
046971.png,fraxinus
005767.png,carpinus
029564.png,picea
054860.png,urticaceae
059458.png,quercus
077202.png,fagus
089329.png,fraxinus
004028.png,pinus
080810.png,fraxinus
066374.png,fagus
072205.png,tilia
004397.png,picea
059446.png,cupressaceae
094471.png,betula
040800.png,quercus
035413.png,fagus
045515.png,carpinus
038685.png,poaceae
042932.png,betula
061616.png,fagus
074875.png,carpinus
105797.png,alnus
112595.png,salix
089644.png,picea
027102.png,fagus
081092.png,salix
014386.png,betula
013633.png,pinus
021667.png,fraxinus
028313.png,pinus
084183.png,cupressaceae
011349.png,salix
019958.png,carpinus
115251.png,pinus
080381.png,salix
002380.png,cupressaceae
087031.png,corylus
112667.png,picea
029802.png,alnus
098220.png,picea
058857.png,picea
101451.png,alnus
093294.png,urticaceae
096922.png,poaceae
065478.png,pinus
051680.png,fraxinus
055529.png,urticaceae
050177.png,fraxinus
113329.png,pinus
053377.png,alnus
022490.png,corylus
086256.png,pinus
054190.png,alnus
038881.png,betula
023407.png,carpinus
102176.png,quercus
021938.png,betula
110886.png,carpinus
030045.png,fagus
015238.png,quercus
031635.png,quercus
109433.png,populus
056522.png,pinus
067969.png,carpinus
018226.png,tilia
008458.png,pinus
028808.png,cupressaceae
045875.png,fraxinus
017637.png,poaceae
002748.png,quercus
096815.png,quercus
112043.png,carpinus
064385.png,poaceae
097737.png,corylus
077156.png,carpinus
036384.png,quercus
105507.png,picea
095129.png,populus
092996.png,fagus
079126.png,urticaceae
111982.png,cupressaceae
075115.png,alnus
022820.png,alnus
109436.png,pinus
102775.png,fagus
105645.png,tilia
019863.png,tilia
009641.png,quercus
100109.png,corylus
014067.png,fagus
049435.png,populus
046605.png,fagus
074624.png,poaceae
049252.png,fraxinus
102713.png,picea
054351.png,populus
003784.png,salix
114867.png,poaceae
060684.png,populus
060234.png,pinus
096201.png,alnus
090648.png,fagus
100535.png,betula
007579.png,cupressaceae
048749.png,pinus
004020.png,poaceae
114112.png,fraxinus
083226.png,populus
089703.png,picea
018818.png,fraxinus
007981.png,betula
113713.png,salix
080255.png,urticaceae
048169.png,urticaceae
000545.png,quercus
027976.png,quercus
051946.png,picea
062026.png,carpinus
034242.png,tilia
110324.png,salix
007938.png,quercus
091552.png,alnus
109270.png,carpinus
109913.png,quercus
012796.png,alnus
023535.png,tilia
016837.png,fraxinus
011432.png,fagus
112688.png,salix
065924.png,urticaceae
013521.png,populus
053571.png,carpinus
061065.png,populus
070810.png,pinus
110712.png,cupressaceae
111870.png,fraxinus
016783.png,pinus
089621.png,pinus
085508.png,poaceae
068735.png,carpinus
006358.png,urticaceae
068176.png,poaceae
090481.png,tilia
048801.png,picea
002876.png,picea
055417.png,urticaceae
037601.png,carpinus
046094.png,urticaceae
077520.png,poaceae
089843.png,fagus
022608.png,carpinus
072719.png,corylus
042633.png,betula
003751.png,urticaceae
089170.png,quercus
064793.png,carpinus
005060.png,salix
033938.png,pinus
069816.png,fagus
069622.png,salix
052228.png,cupressaceae
111995.png,populus
079522.png,fraxinus
021936.png,fagus
090565.png,cupressaceae
082675.png,picea
032681.png,tilia
095317.png,populus
112449.png,quercus
023770.png,fagus
105411.png,salix
067808.png,cupressaceae
093866.png,quercus
045852.png,carpinus
048165.png,tilia
090122.png,pinus
097250.png,carpinus
000468.png,alnus
072949.png,alnus
057526.png,betula
065480.png,tilia
062608.png,populus
038329.png,urticaceae
039452.png,tilia
051874.png,cupressaceae
080818.png,populus
044440.png,corylus
025563.png,corylus
084946.png,corylus
037503.png,populus
062868.png,corylus
103932.png,poaceae
112752.png,populus
074570.png,alnus
010892.png,urticaceae
062720.png,quercus
109416.png,alnus
106812.png,populus
080315.png,betula
002718.png,fraxinus
072352.png,fraxinus
103818.png,corylus
114852.png,tilia
105436.png,salix
091706.png,tilia
074532.png,cupressaceae
063464.png,salix
109973.png,fraxinus
085889.png,carpinus
001076.png,betula
104243.png,alnus
079758.png,poaceae
056497.png,populus
004087.png,populus
092526.png,tilia
006276.png,tilia
086353.png,populus
